Дата проверки,Основная категория,Категории совпадения,Регион,Название,Тип,Ссылка,Username / invite,Подписчики/участники,Комментарии открыты,Можно публиковать бесплатно,Условия публикации,Контакты администратора,Активность канала/чата,Последняя активность,Описание,Источник данных,TGStat/каталог карточка,Source URL(s),Поисковые запросы
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,МОСКВА ДОСКА ОБЪЯВЛЕНИЯ | РЕКЛАМА | НЕДВИЖИМОСТЬ | АВТО...,чат/группа,https://t.me/moskva_obyavlenie,moskva_obyavlenie,7735,"да, это чат/группа",по согласованию / неясно,"Есть контакт/упоминание размещения, но бесплатность не подтверждена.",не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать в наше сообщество ""Москва Доска Объявлений""! Здесь вы сможете найти все, что вам нужно: от рекламы до недвижимости и автомобилей. Мы создали удобную платформу для размещения и поиска объявлений, где каждый сможет легко сориентироваться и найти",tg-cat public search,https://tg-cat.com/@moskva_obyavlenie,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авто москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авторынок | Продажа Автомобилей | Минск | Москва,чат/группа,https://t.me/avtobaraholkaa,avtobaraholkaa,7640,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Присоединяйтесь к нашему увлекательному чату об авторынке! Здесь мы обсуждаем продажу автомобилей в Минске и Москве. Вы найдете полезные ссылки на правила и актуальные предложения, а также сможете задать свои вопросы по сотрудничеству и рекламе. Наши",tg-cat public search,https://tg-cat.com/@avtobaraholkaa,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авторынок москва
2026-07-05,Обмен автомобилей,Авторынки Москвы; Обмен автомобилей; Чаты купли-продажи,Москва / Московская область,САША АВТО ВЫБОР,канал,https://t.me/select_avto,select_avto,7435,не удалось проверить web-источником,неизвестно,В открытой web-карточке условия публикации не указаны.,@Select,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"SELECT_AVTO предлагает автомобили из Германии, Европы и Америки под заказ с возможностью обмена по Trade-in. Предоставляют услуги по выкупу авто быстро и безопасно, а также производят осмотр автомобилей перед покупкой в Москве. Инстаграм: @Select.Avto.",tg-cat public search,https://tg-cat.com/@select_avto,https://tg-cat.com/?search=%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C%20%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B0%D0%B2%D1%82%D0%BE&type=channel&lang=en; https://tg-cat.com/?search=%D0%BE%D0%B1%D0%BC%D0%B5%D0%BD%20%D0%B0%D0%B2%D1%82%D0%BE&type=channel&lang=en,купить продать авто; обмен авто
2026-07-05,Обмен автомобилей,Авторынки Москвы; Обмен автомобилей; Чаты купли-продажи,Москва / Московская область,БОЛЬШАЯ БАРАХОЛКА- МОСКВА&#33;,чат/группа,https://t.me/barakholka_zao_uzao_sao_szao,barakholka_zao_uzao_sao_szao,7149,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать в ""Большую барахолку - Москва""! Это идеальное место для всех, кто хочет купить, продать или обменять товары. Здесь вы можете найти всё — от бытовых предметов до автомобилей и недвижимости. Нужна помощь или есть вопросы? Не стес",tg-cat public search,https://tg-cat.com/@barakholka_zao_uzao_sao_szao,https://tg-cat.com/?search=%D0%BE%D0%B1%D0%BC%D0%B5%D0%BD%20%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D0%B5%D0%B9&type=supergroup&lang=en,обмен автомобилей
2026-07-05,Мототехника,Авторынки Москвы; Мототехника; Чаты купли-продажи,Москва / Московская область,CARMAGAZZ ПОКУПКА ПРОДАЖА МОСКВА,чат/группа,https://t.me/carmagazz_msk,carmagazz_msk,6968,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🌟 Добро пожаловать в мир CARMAGAZZ! 🌟 Мы — ваш надежный автосалон в Москве, специализирующийся на покупке и продаже автомобилей, мототехники, спецтехники и водного транспорта на аукционе.",tg-cat public search,https://tg-cat.com/@carmagazz_msk,https://tg-cat.com/?search=%D0%BC%D0%BE%D1%82%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0&type=supergroup&lang=en,мототехника
2026-07-05,Авторынки Москвы,Авторынки Москвы; Мототехника; Чаты купли-продажи,Москва / Московская область,АВТО МОСКВА,чат/группа,https://t.me/prodazha_avto_moskva,prodazha_avto_moskva,6756,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,@Marina,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Группа ""АВТО МОСКВА"" посвящена продаже автомобилей, мотоциклов и спецтехники. Правила группы можно найти по ссылке. По вопросам обращаться к @Marina.",tg-cat public search,https://tg-cat.com/@prodazha_avto_moskva,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0%20%D0%BC%D0%BE%D1%82%D0%BE&type=supergroup&lang=en,авто москва; продажа мото
2026-07-05,Авторынки Москвы,Авто ниже рынка; Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,АВТОРЫНОК РОССИЯ | ПЕРЕКУПЫ УФА СПБ МОСКВА КАЗАНЬ САМАР...,чат/группа,https://t.me/avtorynok_rossia_perekup,avtorynok_rossia_perekup,6737,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🚗 **Авторывает в России!** Узнайте все о покупке и продаже автомобилей во всех крупных городах: Уфа, Санкт-Петербург, Москва, Казань, Самара и других! Присоединяйтесь к нашему каналу аукционов автомобилей и не пропуст",tg-cat public search,https://tg-cat.com/@avtorynok_rossia_perekup,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BD%D0%B8%D0%B6%D0%B5%20%D1%80%D1%8B%D0%BD%D0%BA%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BD%D0%B8%D0%B6%D0%B5%20%D1%80%D1%8B%D0%BD%D0%BA%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE&type=supergroup&lang=en,авто ниже рынка; авторынок москва; ниже рынка авто
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авторынок🇰🇬 Москва🇰🇬 МашинаkG Аренда авто Выкуп авто За...,чат/группа,https://t.me/avtobazarmoscva,avtobazarmoscva,6733,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Группа посвящена авторынку в Москве, предлагая услуги аренды и выкупа автомобилей, а также запчасти и сервис. Обсуждаются различные модели, включая такси и доставку, с акцентом на доступные машины и связанные услуги.",tg-cat public search,https://tg-cat.com/@avtobazarmoscva,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авто москва; авторынок москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,БАРАХОЛКА «АВТО» Москва,канал,https://t.me/bkbaraxolka,bkbaraxolka,6620,не удалось проверить web-источником,неизвестно,В открытой web-карточке условия публикации не указаны.,@baraxolkarobot,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,🔧🚗 БАРАХОЛКА «ЖИГУЛЕЙ» МСК – идеальное место для покупки и продажи автомобилей «Жигули» и запчастей! 💬 Присоединяйтесь к нашему боту (@baraxolkarobot) и,tg-cat public search,https://tg-cat.com/@bkbaraxolka,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%B1%D0%B0%D1%80%D0%B0%D1%85%D0%BE%D0%BB%D0%BA%D0%B0&type=channel&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=channel&lang=en; https://tg-cat.com/?search=%D0%B1%D0%B0%D1%80%D0%B0%D1%85%D0%BE%D0%BB%D0%BA%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=channel&lang=en; https://tg-cat.com/?search=%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C%20%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B0%D0%B2%D1%82%D0%BE&type=channel&lang=en,авто барахолка; авто москва; барахолка авто москва; купить продать авто
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Продажа Авто Москва,чат/группа,https://t.me/auto_salemsk,auto_salemsk,6278,"да, это чат/группа",по согласованию / неясно,"Есть контакт/упоминание размещения, но бесплатность не подтверждена.",не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🚗💼 Ищете, где купить или продать авто в Москве и МО? Присоединяйтесь к нашей группе! Узнайте правила участия и размещайте свои объявления! 📢 Подробности по ссылке: https://telegra.ph/Pravila-gruppy-",tg-cat public search,https://tg-cat.com/@auto_salemsk,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE&type=supergroup&lang=en,авто москва; продажа авто; продажа авто москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,БАРАХОЛКА АВТО 🚘ЛНР🏙️МОСКВА🏙ЛНР🏠️ АВТОПОДБОР 🏎️ ПРИГОН ...,чат/группа,https://t.me/avtomoskvalnr,avtomoskvalnr,6055,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🚗💨 Добро пожаловать в мир Барахолки Авто! Если вы ищете идеальный автомобиль в ЛНР или Москве, то вы на правильном пути! Наши эксперты готовы помочь вам с подбором и пригоном автомобилей всех марок и моделей. 🌟",tg-cat public search,https://tg-cat.com/@avtomoskvalnr,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%B1%D0%B0%D1%80%D0%B0%D1%85%D0%BE%D0%BB%D0%BA%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авто москва; барахолка авто москва
2026-07-05,Авторынки Москвы,Авто ниже рынка; Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авторынок перекупы МОСКВА ЧАТ,чат/группа,https://t.me/perekup_msk1,perekup_msk1,5618,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать в наш чат ""Авторынок перекупы"" в Москве! 🚘 Здесь мы помогаем выгодно купить или продать авто на территории России 🇷🇺. Присоединяйтесь к нашему сообществу, где вы найдете полезные советы",tg-cat public search,https://tg-cat.com/@perekup_msk1,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авторынок москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Красивые гос авто номера Москва,чат/группа,https://t.me/nomeramsk77,nomeramsk77,5372,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать в нашу уникальную сообщество «Красивые гос авто номера Москвы»! Здесь вы найдете изысканные гос номера автомобилей, которые способны подчеркнуть стиль и индивидуальность вашего транспорта. Мы предлагаем удобный опыт: возможность как купить, так и продать красивые автомобильные номера",tg-cat public search,https://tg-cat.com/@nomeramsk77,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авто москва
2026-07-05,Авторынки Москвы,Авторынки Москвы,Москва / Московская область,Правый Руль Москва,канал,https://t.me/keicarbaza,keicarbaza,5105,не удалось проверить web-источником,неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🚗 Добро пожаловать на канал ""Правый Руль Москва""! Здесь вы найдете широкий выбор кей-каров в наличии в Москве. Мы предлагаем не только продажу автомобилей, но и услуги автовоза, антикоррозийной обработки и автосервиса. Узнайте все",tg-cat public search,https://tg-cat.com/@keicarbaza,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=channel&lang=en,авто москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,АВТОБАЗАР МОСКВА,чат/группа,https://t.me/avtobazar_msk,avtobazar_msk,4855,"да, это чат/группа",по согласованию / неясно,"Есть контакт/упоминание размещения, но бесплатность не подтверждена.",не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Группа ""Автобазар Москва"" посвящена продаже и аренде автомобилей в Москве. Перед размещением объявлений необходимо ознакомиться с правилами группы. Ссылка на чаты сообщества и контакт для рекламы также указаны.",tg-cat public search,https://tg-cat.com/@avtobazar_msk,https://tg-cat.com/?search=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,продажа авто москва
